Series Title,Year Released,Content Rating,IMDB Rating,Genre,Description,No of Seasons,Streaming Platform
Batman,1966,7+,7.5,"Action & Adventure, Science-Fiction","Wealthy entrepreneur Bruce Wayne and his ward Dick Grayson lead a double life: they are actually crime fighting duo Batman and Robin. A secret Batpole in the Wayne mansion leads to the Batcave, where Police Commissioner Gordon often calls with the latest emergency threatening Gotham City. Racing the the scene of the crime in the Batmobile, Batman and Robin must (with the help of their trusty Bat-utility-belt) thwart the efforts of a variety of master criminals, including The Riddler, The Joker, Catwoman, and The Penguin.Batman featuring Adam West and Burt Ward has one or more episodes available for purchase on iTunes, available for purchase on Google Play, available for purchase on VUDU, and 1 other. It's an action & adventure and comedy show with 120 episodes over 3 seasons. Batman is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.5 (18,393 votes) and was very well received by critics.",3 Seasons,Prime Video
Killjoys,2015,18+,7.2,"Drama, Action & Adventure","An action-packed adventure series following a fun-loving, hard living trio of interplanetary bounty hunters (a.k.a. Killjoys) sworn to remain impartial as they chase deadly warrants around the Quad, a system of planets on the brink of revolution.Killjoys featuring Hannah John-Kamen and Aaron Ashmore has one or more episodes streaming via tv everywhere with Syfy, free on Syfy, streaming with subscription on fuboTV, and 6 others. It's an action & adventure and crime show with 50 episodes over 5 seasons. Killjoys is no longer running and has no plans to air new episodes or seasons. It has a better than average IMDb audience rating of 7.2 (19,818 votes) and was very well received by critics.",5Seasons,"Free Services,Syfy,fuboTV"
Dragon Ball Z Kai,2009,16+,8.2,"Action & Adventure, Anime","Rejoin Goku and his friends in a series of cosmic battles! Toei has redubbed, recut, and cleaned up the animation of the original 1989 animated series. The show's story arc has been refined to better follow the comic book series on which it is based. The show also features a new opening and ending. In the series, martial artist Goku, and his various friends, battle increasingly powerful enemies to defend the world against evil. Can Earth's defender defeat demons, aliens, and other villains?Dragon Ball Z Kai featuring Masako Nozawa and Jōji Yanami has one or more episodes streaming via tv everywhere with Adult Swim (Via Cable/Satellite Provider), free on Adult Swim, and available for purchase on Prime Video. It's an action & adventure and animation show with 379 episodes over 7 seasons. Dragon Ball Z Kai is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (19,474 votes).",7Seasons,"Free Services,Adult Swim"
Wentworth,2013,18+,8.6,"Drama, Crime","Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison. A modern adaptation and sequel of the iconic Prisoner series.Wentworth featuring Kate Atkinson and Celia Ireland has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hoopla, available for purchase on iTunes, and 3 others. It's a crime and drama show with 87 episodes over 8 seasons. Wentworth has a new episode airing on September 15th, 2020 (PDT). It has a high IMDb audience rating of 8.6 (16,357 votes).",8Seasons,"Netflix,Hoopla"
Gentleman Jack,2019,18+,8.2,"Drama, LGBTQ","Halifax, West Yorkshire, England, 1832. Anne Lister attempts to revitalize her inherited home, Shibden Hall. Most notably for the time period, a part of her plan is to help the fate of her own family - by taking a wife.Gentleman Jack featuring Suranne Jones and Sophie Rundle has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on HBO, available for purchase on Google Play, and 2 others. It's a biography and drama show with 8 episodes over 1 season. Gentleman Jack is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (8,040 votes) and was very well received by critics.",1Season,"HBO MAX,HBO"
M*A*S*H,1972,7+,8.4,"Comedy, Drama","The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable.M*A*S*H featuring Alan Alda and Mike Farrell has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TV Land (Via Cable/Satellite Provider), available for purchase on Google Play, and 2 others. It's a comedy and drama show with 266 episodes over 11 seasons. M*A*S*H is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (49,267 votes).",11 Seasons,"Hulu,TVLand"
Long Way Round,2004,7+,8.6,"Documentary, Reality","Having set off from London, Ewan and Charley ride their bikes cross country through some of the most beautiful, but often dangerous, terrain the world has to offer.Long Way Round featuring Charley Boorman and Ewan McGregor has one or more episodes free on Tubi, available for purchase on iTunes, and available for purchase on Prime Video. It's an action & adventure and documentary show with 11 episodes over 1 season. Long Way Round is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (11,490 votes).",1Season,Free Services
Ballers,2015,18+,7.6,"Comedy, Drama","Looking at the lives of former and current football players, the show follows former superstar Spencer Strasmore as he gets his life on track in retirement while mentoring other current and former players through the daily grind of the business of football.Ballers featuring Dwayne Johnson and Rob Corddry has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's a comedy and drama show with 58 episodes over 5 seasons. Ballers is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.6 (37,066 votes) and was well received by critics.",5Seasons,"HBO MAX,HBO"
I Know This Much Is True,2020,18+,8.2,Drama,"The parallel lives of identical twin brothers Dominick and Thomas Birdsey in an epic story of betrayal, sacrifice and forgiveness set against the backdrop of 20th century America.I Know This Much Is True featuring Mark Ruffalo and Melissa Leo has one or more episodes streaming with subscription on HBO MAX, and streaming on HBO. It's a drama show with 6 episodes over 1 season. I Know This Much Is True is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.2 (7,519 votes) and was well received by critics.",1Season,"HBO MAX,HBO"
Nurse Jackie,2009,18+,7.7,"Comedy, Drama","Every day is a matter of life and death in a hectic New York City hospital, but for Nurse Jackie that's the easiest part. Between chronic back pain that won't quit, and a personal life on the constant edge of collapse, it's going to take a white lie here, a bent rule there, and a handful of secret strategies to relieve the pain, and stay one step ahead of total disaster.Nurse Jackie featuring Edie Falco and Paul Schulze has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and drama show with 80 episodes over 7 seasons. Nurse Jackie is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (24,255 votes) and was well received by critics.",7Seasons,Netflix
Graceland,2013,16+,7.7,"Action & Adventure, Crime","In Southern California, a beachfront property was seized and turned into a residence for undercover cops. They are all top agents of the DEA, FBI, and Customs and they are living in this house unofficially known as ""Graceland"". Coming of a new graduating at the top of his class, FBI rookie, Mike Warren, could make the life of a legendary FBI agent Paul Briggs and the others, more complicated or it could reveal the truth. It is based upon actual events.Graceland featuring Daniel Sunjata and Aaron Tveit has one or more episodes streaming with subscription on Hulu, free on IMDb TV, available for purchase on iTunes, and 4 others. It's an action & adventure and crime show with 38 episodes over 3 seasons. Graceland is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 7.7 (15,723 votes) and was well received by critics.",3Seasons,"Free Services,Hulu"
